subject,sex,age,survived,TL,AE,WT,BHL,HL,FL,TTL,SW,SKL
21,m,a,T,161,252,28,31.8,19.558,18.5674,30.226,14.986,22.479
22,m,a,T,163,251,27.9,31.9,19.5326,18.923,29.6672,15.7988,21.844
22,m,a,F,166,251,27.5,31.5,18.288,17.5514,28.3972,15.5448,21.5138
23,m,a,T,156,242,25.9,32,18.3642,18.0594,28.3464,15.4686,22.5044
23,m,a,F,165,253,31,32.4,19.431,19.05,30.0482,15.5702,22.987
24,m,a,T,165,251,25.7,32.2,19.0754,18.8468,29.4894,15.5702,21.971
24,m,a,F,166,250,28.3,32.4,19.1516,18.2372,29.9466,15.4178,23.2664
25,m,a,T,160,247,26.6,32.4,18.4912,17.9578,28.1432,14.986,21.2344
25,m,y,F,160,249,24.2,30.4,18.796,18.2118,28.702,15.748,21.336
26,m,a,T,158,244,23.2,31.6,18.542,18.1102,29.0068,14.859,22.5552
26,m,y,F,156,236,26.8,30.2,17.526,17.0434,27.1018,14.3002,21.1328
27,m,a,T,160,242,25.7,31.6,18.0086,17.907,28.5496,15.748,20.0152
27,m,y,F,158,240,23.5,31,18.161,17.8308,28.2702,15.113,20.447
28,m,a,T,157,245,26.3,32.2,18.8214,18.4404,29.0322,15.113,21.59
28,m,y,F,166,245,26.9,31.7,18.161,17.653,28.1178,15.2654,21.5138
29,m,a,T,159,244,24.3,31.5,18.3642,17.7292,28.1178,15.621,21.5138
29,m,y,F,165,255,28.6,31.5,17.9324,18.8976,29.845,15.5702,21.6916
30,m,a,T,160,253,26.7,32.1,18.7706,18.1356,28.3718,15.0368,21.9456
30,m,y,F,157,238,24.7,31.2,17.272,17.1958,29.3624,15.2146,19.5326
31,m,a,T,158,245,24.9,31.4,18.4404,17.8562,28.4226,14.732,21.6916
31,m,y,F,164,250,27.3,31.8,19.4056,18.4404,29.7434,14.9352,21.844
32,m,a,T,161,247,23.8,31.4,18.669,17.6276,27.9654,15.2908,20.0406
32,m,y,F,166,256,25.7,31.7,19.1008,19.0754,30.1498,15.113,21.7932
33,m,a,T,160,247,25.6,32.3,19.2024,18.923,28.829,15.4178,22.9108
33,m,y,F,167,255,29,32.2,19.431,18.923,30.4038,16.2052,21.717
34,m,a,T,160,247,27,32,19.177,18.6944,29.8196,16.0274,22.1742
34,m,y,F,161,246,25,31.5,18.7706,17.9578,28.5242,14.9098,21.59
35,m,a,T,153,241,24.7,32.2,18.4912,17.272,27.7368,15.0368,22.4536
35,m,y,F,166,254,27.5,31.4,19.304,18.8468,28.5496,15.3416,23.2156
36,m,y,T,156,246,24.6,32,18.8214,18.669,29.6418,15.0368,21.5646
36,m,y,F,161,251,26,31.5,18.5674,17.9578,28.4988,14.9606,21.0312
37,f,,F,155,240,26.3,31.4,18.0086,18.034,28.575,15.5956,20.701
37,m,y,T,156,245,25.5,32.1,19.3294,18.2118,29.1338,15.748,20.7264
38,f,,F,156,240,25.8,31.5,18.161,17.2212,28.6258,15.1638,20.6248
38,m,y,T,163,248,24.8,32.2,18.8468,18.6182,29.591,15.3924,21.6916
39,f,,F,160,242,26,32.6,18.796,18.5928,29.3878,15.1638,21.6916
39,m,y,T,163,248,26.3,33,18.6944,17.8816,29.1592,15.4686,21.3106
40,f,,F,152,232,23.2,30.3,17.1704,17.3482,26.6192,14.986,19.812
40,m,y,T,160,250,24.4,31.5,18.9484,18.161,29.7942,15.3416,22.6822
41,f,,F,160,250,26.5,31.7,18.8214,18.5674,30.1498,15.621,22.5044
41,m,y,T,156,237,23.3,30.6,17.5768,16.8656,25.6794,14.9352,19.6596
42,f,,F,155,237,24.2,31,18.4658,18.3642,28.3972,15.494,19.9898
42,m,y,T,162,253,26.7,32,19.2786,18.6436,30.4038,16.002,22.3012
43,f,,F,157,245,26.9,32.2,19.4564,19.0754,31.1658,15.748,21.3614
43,m,y,T,163,254,26.4,32,19.4564,19.05,29.591,15.367,22.5044
44,f,,F,165,245,27.7,33.1,19.812,19.2278,30.353,16.0782,22.733
44,m,y,T,164,251,26.9,32,19.177,18.8468,29.7434,15.748,22.5044
45,f,,F,153,231,23.9,30.1,17.272,16.8148,26.4668,15.0368,19.8374
45,m,y,T,163,244,24.3,31.3,18.2372,17.272,27.4828,15.494,22.6568
46,f,,F,162,239,26.1,30.3,18.0086,17.399,27.7368,14.9098,23.1394
46,m,y,T,160,247,27,31.5,19.4056,18.5928,29.8958,15.6718,21.4884
47,f,,F,162,243,24.6,31.6,18.8214,18.5166,29.5148,15.367,21.336
47,m,y,T,160,250,26.8,32.5,19.4056,18.5166,28.5242,16.129,21.3868
48,f,,F,159,245,23.6,31.8,18.4658,17.78,28.6766,15.494,21.717
48,m,y,T,158,247,24.9,32.4,18.923,18.3896,28.9306,14.9352,21.971
49,f,,F,159,247,26,30.9,18.0594,16.9164,27.8892,14.732,19.0246
49,m,y,T,158,249,26.1,32.2,18.8468,18.6944,29.1592,15.2908,20.7518
50,f,,F,155,243,25,30.9,18.542,18.0594,28.6258,15.1892,21.3106
50,m,y,T,158,243,26.6,32.4,18.9738,18.0594,29.5402,15.5448,22.6314
51,f,,F,162,252,24.8,31.9,19.1008,18.7452,29.972,15.621,22.225
51,m,y,T,155,237,23.3,30.2,17.399,16.5862,25.6794,14.9098,20.1676
52,f,,F,152,230,22.8,30.4,17.3228,16.8656,26.4668,13.9954,18.6436
52,f,,T,156,245,25.3,31.6,18.5166,18.034,29.2608,15.748,20.5486
53,f,,T,154,240,22.6,30.4,17.907,17.4244,28.0162,14.8336,19.558
53,f,,F,159,242,24.8,30.8,18.2118,16.9418,27.686,14.605,20.5486
54,f,,T,153,240,25.1,31,18.3896,18.1102,28.5242,14.859,20.6248
54,f,,F,155,238,24.6,31.2,17.9324,17.8308,27.9908,14.9352,19.2532
55,f,,T,153,236,23.2,30.9,17.7292,17.2212,28.7528,15.1384,20.193
55,f,,F,163,249,30.5,33.4,19.4818,19.4818,30.6578,16.256,22.7584
56,f,,T,155,243,24.4,31.5,18.6436,18.6944,29.718,15.1384,20.3454
56,f,,F,163,242,24.8,31,18.1102,18.1102,28.6512,15.4178,20.6502
57,f,,F,156,237,23.9,31.7,18.2372,18.1864,27.686,15.5194,20.32
57,f,,T,163,247,25.1,32,18.9992,18.6436,29.6164,15.2908,20.8534
58,f,,T,157,238,24.6,30.9,18.4404,18.4658,29.845,14.9352,20.2438
58,f,,F,159,238,24.7,31.5,18.4404,17.8054,29.083,15.24,20.32
59,f,,T,155,239,24,32.8,18.5928,18.8468,29.845,15.2654,21.209
59,f,,F,161,245,26.9,32.1,19.0754,17.8816,29.0068,15.4178,20.8026
60,f,,F,155,235,22.6,30.7,17.653,17.5768,28.4226,14.8336,19.5834
60,f,,T,164,248,24.2,32.7,19.1008,19.1008,30.5054,15.3416,21.082
61,f,,T,158,238,24.9,31,18.8214,17.526,27.7114,15.0368,21.9964
61,f,,F,162,247,26.1,31.9,19.0754,18.669,29.3878,15.6972,20.3708
62,f,,F,153,237,24.8,30.6,18.5928,18.2372,29.7688,15.0876,20.3708
62,f,,T,158,240,24.1,31.3,18.6182,17.9324,28.1178,15.0114,22.0218
63,f,,T,160,244,24,31.1,18.5674,18.542,29.2608,14.9606,20.5232
63,f,,F,162,245,26.2,32.5,18.4912,18.5674,27.9908,15.5956,21.1328
64,f,,T,161,246,26,32.3,19.2532,18.5928,29.3116,15.8242,21.8186
64,f,,F,164,248,26.1,32.3,18.7706,17.9578,29.4386,15.0368,20.9042
65,f,,T,157,245,24.9,32,19.1008,18.796,30.1244,15.0622,19.9898
66,f,,T,157,235,25.5,31.5,18.0848,17.8816,28.7528,15.5194,19.8374
67,f,,T,156,237,23.4,30.9,17.9832,17.5514,28.5242,15.5702,20.2692
68,f,,T,158,244,25.9,31.4,18.5166,17.907,29.1084,15.1638,21.6154
69,f,,T,153,238,24.2,30.5,18.161,17.9578,28.3464,15.113,20.8534
70,f,,T,155,236,24.2,30.3,18.4658,17.907,28.448,14.859,20.066
71,f,,T,163,246,27.4,32.5,18.5928,18.0594,29.5402,16.002,21.8948
72,f,,T,159,236,24,31.5,18.0086,18.1102,28.6766,15.4178,21.463
